id,saleprice
2658,121108.40290393867
2718,144491.21233253367
2414,216024.82539743558
1989,119298.3709176518
625,200090.26741933264
333,61325.01499071531
1327,100804.97646780312
858,129653.28524084389
95,171268.51333111152
1568,180499.9975162074
2482,152542.27114195004
1364,131180.3516543489
2584,158023.19117370434
818,275932.8934894055
2673,173312.5826053638
2089,146255.53715882823
1297,141094.72467313334
790,115705.20369231142
2616,234900.21395132132
720,194936.09391808696
222,144538.96955216303
557,119785.33007100411
1148,190943.27362844162
2766,172074.46976172552
534,188861.84477784485
1452,103502.50284196623
630,108704.2305619996
2648,121289.7882304918
125,155886.1135752555
1904,19727.748859621584
1670,93662.59537157603
756,77670.7372621391
717,250484.50437812507
1032,160026.1624847576
852,226642.94509626925
1731,192711.86805120483
2639,108707.92045155913
2071,85037.32168547437
1267,120764.20518961549
1851,194041.48540003598
567,141605.24660625495
2439,216111.0422989577
1898,158463.9936155714
647,160944.93790766783
2256,225616.95933213644
979,93894.87405199558
1444,224818.48240919784
2485,127587.22679884359
157,133688.55025147088
88,120174.86864204705
2003,107777.03516208008
186,217004.4149302896
1425,260942.3643150311
2695,122803.10285786726
738,106813.09758758359
395,168901.66510247998
1353,168412.7807730101
1878,158656.84367975593
390,183388.8603447266
1456,237834.6421772819
1103,325614.93037907965
1387,106066.87342545204
2070,158722.00696429051
1199,182199.9745372925
2479,175629.51998768747
501,320690.08236853033
2362,91731.39505157806
1718,200980.1092075184
2188,72553.93820589781
1483,155481.81419687718
2557,85418.3955953177
437,309280.85402272455
2224,220427.97895613313
1628,190179.6582130175
397,133484.69237371162
587,204250.88245523535
971,175811.39964415133
2611,147460.17306777276
1887,70524.52631555498
2399,346245.065340437
2148,210119.41534344293
304,135346.6605981458
1997,114011.9444495514
2817,110693.7388126012
1431,197331.2384921033
427,305833.18580647185
263,120875.37858915515
598,179755.35382583737
2895,274981.63087560795
687,143385.6113734264
1822,123137.6243199613
2191,102335.25019519031
179,124962.59633756056
1009,208129.14842136018
2010,117492.42461317778
1991,139535.7586960364
1411,206875.97118253075
1721,228563.94761577994
1144,195497.71586147137
593,229212.43789036386
575,311905.30053121224
1249,176427.43906601518
1604,124414.8174764011
1064,421296.48060658015
1923,152934.78949525952
1988,117360.07541715167
2325,180424.56785956584
114,202447.4564254582
2700,164045.56506457925
217,136860.70479663275
343,205143.95194028132
386,228738.23260910995
2005,123170.7691853717
2908,146857.94775430486
1814,236124.91672320478
2446,478349.7674401421
208,123915.7170210518
1679,117174.54861857556
822,318753.06014815345
6,201821.6421905812
1781,385703.1257887706
2397,297530.12170936354
2340,286117.256141128
1618,169526.04725639895
2843,88862.06449604593
1061,348869.5847775005
2786,106112.14395409264
1935,134324.58444418758
1341,114925.59695587121
521,281839.36027107015
2136,130757.93103023618
996,206556.82069242746
227,142713.8841435071
135,153634.58000938036
1167,169034.43668443896
294,222841.6378827747
1776,196952.9516290985
540,189107.60229354724
1717,199486.48259924166
2303,129064.12490637042
116,189469.03591694497
127,141064.0939191319
1371,137750.2529402934
1014,162880.95770878345
1507,115398.07130947523
702,148686.57992430776
750,159333.78542924114
261,139334.7555718515
1559,48795.270005106926
577,232379.3387181852
2812,203734.45766214654
2080,158379.1626255717
1368,126829.32824256457
2376,114582.34496850707
659,108796.02540056966
1235,128324.37979577482
332,61669.71238870546
1917,158197.3339337688
2094,250781.75111007877
1460,284934.91826116294
1471,219022.69789889082
1509,110899.01720265299
1922,136466.81466932222
433,432252.46453246474
460,258529.4492646642
1116,268115.15794882365
1137,180998.0197723247
53,171670.26953903213
2354,254279.26543083973
1475,198483.0816327557
1761,374996.03283753246
842,138285.67012468167
2739,178198.45400785655
2509,148817.57869330235
1007,205045.12434546463
2610,196007.7779281009
1952,69093.86483980343
2719,151161.7756098751
2921,59664.013026671484
1966,128448.3292265255
292,125912.68731653132
1204,217948.31243890524
1829,262953.4152686205
2419,200136.77747637033
391,176739.47903378122
798,123181.83778008819
481,208567.8029754795
193,192160.84230288677
555,123073.7710228078
899,61572.32459010184
2357,214274.28978839517
328,123538.88030045293
1356,127782.0717468597
1154,85237.48898494616
1730,181610.13148220628
2249,164040.85482396372
1119,287460.8627918158
2856,122974.17273264937
1394,134191.33300894126
2587,118414.67464483343
61,301694.94373054244
2661,182247.85296591
2711,114975.10417472571
1147,193482.61324138567
757,127575.60449261032
2623,85777.66228471883
2378,139555.37138756923
1413,150759.34273856692
1722,220347.42826540768
1112,222157.44575605355
1623,208498.61639019474
1201,196503.34318881296
1513,97895.80350118689
957,386640.73985313997
1171,260199.71919324808
1145,206765.17341212183
2726,249698.35414864123
703,159689.7041529566
760,111202.25545966066
1964,125504.29414744675
2512,183458.2783499416
159,157977.86908282526
1281,191284.9218385443
468,181054.58133108914
290,137636.28599386476
665,97289.23010289297
1463,252084.7379375007
1792,235043.04726665653
923,153471.56180337258
500,296497.14789707214
1408,182211.36140459962
331,68359.52386609837
170,148819.75444673188
2192,81649.61821864173
2571,205328.74593530595
2314,185025.54530483298
2647,87665.77228258364
422,388132.9787348192
2457,336951.6512912791
1838,181093.75201354176
2805,247335.8575606849
1645,171561.8342640493
1711,292245.42194583453
2825,239404.6176434122
322,304716.1877039224
2103,270492.40480698086
342,131757.55633613467
600,137051.2778583169
488,193144.19851499237
1725,279764.0441132728
2246,276486.6188324783
2847,161481.44455861673
806,243522.5265646968
530,225911.60693143122
963,198642.63119223155
2678,61321.88353754394
171,91378.07631642744
2401,383177.4288502764
805,240112.54284488223
2259,285169.33403808065
1748,202405.4346405901
1361,130981.59901981428
1677,129600.04267342761
1406,179304.58682673983
2322,241297.7775596492
688,176344.52399841696
143,137701.0890465863
804,229424.987266697
1214,177167.51169680618
2828,146975.36908851378
1999,176850.87101892196
2467,194432.4018459376
2665,177070.458446756
1538,361683.93415122665
398,116465.05627817474
2822,147297.27390626073
2157,153887.5010182485
1856,174987.83061622456
1269,108354.40412950143
2570,118316.43111222982
2320,250185.6597954426
1517,129667.23051767796
2304,123158.82656567916
1312,95129.02683294192
2012,133077.74955609255
506,231106.55157744326
2865,197703.4261122942
2367,120410.51644705981
554,104980.57249205
238,129859.86538209207
1954,98801.00154597126
2488,156227.8172615636
2291,54111.96717790328
1969,98535.97997579351
2725,175517.15511676483
1482,155490.73837288283
2763,219239.16281847656
503,264166.6655895263
1584,253474.5139981415
1531,125035.82529412024
2210,168507.12625130638
459,293113.3087325543
556,142620.76907328703
1347,134031.50469608232
1290,68371.76893356442
1388,102486.89911108091
1571,277048.35503250174
2754,208117.63634730875
765,127314.07100213133
2494,111766.85415505432
2870,226682.1649811156
7,217077.64576615207
1114,254917.96855935827
2418,282983.2963021826
291,125124.50985226594
18,336217.27265715227
39,335221.618949512
1001,242799.7883307822
2442,241745.55605232157
616,113603.60486298986
2680,67008.51890038513
1414,106944.89534017816
289,124812.46706111729
40,257587.20403534546
860,138207.51961115003
409,139737.9860334918
673,156675.3121916391
2427,175070.41334254667
2036,229749.5725995768
2564,141336.7801208906
642,162590.48401955143
1008,198369.35749227926
1908,160688.68744312227
2519,212737.08751025982
1369,113167.48048722744
2855,158997.04823556356
712,86276.32351984084
1943,121174.28113966249
1958,137778.1614328269
107,172828.77974060923
2295,224625.14315784723
704,115446.01272739843
676,107477.62728316896
259,186967.66522583552
93,284506.2854605913
106,246444.68240736984
2315,194483.6529173646
1050,100151.15844999999
1095,219082.75175121613
2709,156317.58921438828
758,145159.95421857946
1496,161205.09730239213
2370,128301.83935754187
2458,289916.83822441846
2733,130610.10040806234
161,277286.18455326743
726,160906.38077993505
845,209472.8644469399
947,261565.55486426316
2232,138310.2967312541
2563,152471.65478418954
2299,145881.53556540608
211,84820.21575699188
605,165494.73381941952
1478,209214.48124883883
2247,276855.42166179046
2274,230171.15253490582
2869,212975.58808988146
967,222851.93516559526
2656,97130.79225972481
667,221276.59511731006
1042,136926.87453298084
2023,165247.36408425495
2447,371202.8620591853
2055,122984.07382156886
2275,269214.359423127
2204,153020.20033637434
1563,258723.26886044815
483,217903.7076118011
796,121040.0090352837
1526,140846.53768672608
2042,127916.23816024885
442,321996.1081317868
1693,301218.3654305991
1468,221113.13451548852
1430,204888.32487486117
2605,156160.22060449794
1529,193653.8929739166
335,144050.0572219584
1287,131135.9970716983
31,100625.28242282756
1785,300694.9231021553
82,192661.7442997452
2620,120943.21034613065
252,202314.6779129021
721,60071.182424163446
2165,175006.17174789496
2316,198178.74398869276
775,126779.02884403989
1558,89015.6491488982
17,238720.66510631517
1022,248904.81268478744
925,108112.51599500887
438,275485.25261035
1270,124780.06913601607
1272,111957.900160525
215,121322.80384824425
266,238127.36487863027
2402,274993.53291568346
1250,135090.55367718264
1984,137987.4180086162
1279,139099.55911932886
377,268176.45144565776
1252,132810.16361201182
2156,280964.9749583099
499,340032.20429207943
1374,113533.0932486821
2898,243371.56315374933
401,115635.91106703132
2721,189243.94151730277
2078,248501.60461582243
2589,112986.8081384413
1946,256064.79315540195
1334,109940.43816906773
2781,244105.74536338449
431,363655.72741266526
576,210134.56098647602
1474,225605.04054190405
2254,146680.0364995096
2155,301898.34314054996
885,105857.26978112012
643,137984.25478685834
1944,118367.33747245744
480,209209.55941986106
2845,87711.05802272633
2387,302747.6048654318
2407,197230.8007695917
2527,198098.08364456892
2514,146653.49033693597
629,190602.4209740255
80,230245.91200047173
1876,132053.5629365947
1546,117230.94606081583
2518,179586.3354940433
2347,175969.6432252098
783,209688.3703757394
1322,36983.38652672991
194,68547.53528245725
1770,307001.2059774734
2143,132642.2434956245
1229,238767.48252089135
511,289005.88084477186
46,215180.83622452244
1348,184798.56608461402
2465,192217.69781811908
387,239505.37493871152
873,240216.05424248427
1918,121417.37197039835
2764,248257.27694123983
2184,128998.85880127177
934,148085.88094894774
1920,128949.6139523983
2631,164622.45025091432
1768,496043.8023364898
2040,110577.32447779551
1749,216118.6204054281
834,224389.57716929726
1457,237694.90803339705
79,132096.42324148305
2302,119513.33733224496
1817,142152.83274583519
2755,243380.41472791135
359,183576.72882282734
2059,101026.24532727525
2092,269271.67200261727
2516,223396.5892406702
150,107771.63333126716
1656,163465.8711728379
83,96897.8804536704
2411,183042.75408107042
795,61754.28626692854
2312,238531.34327496216
2917,87861.75110916235
1624,190413.20904373564
2215,283217.55233001336
1211,163904.69801735133
1485,159912.27703188919
1024,215855.5165723916
570,194003.4802475907
2874,137542.03466853686
700,130563.93954641558
2756,218361.28342778794
2022,169093.59679405764
583,245967.0767523367
2392,338488.89896867797
2424,190931.29877946898
212,107490.87539296597
736,119948.64948970452
1610,168613.01974925585
890,112303.3016889263
467,186595.8197421655
578,233236.82652248628
1747,197779.51203088462
1149,154036.2097838819
2758,237439.67989020795
857,128419.6037657056
2219,271087.84024545364
733,103288.80071859993
2909,95390.05949449167
1798,269728.75848629326
235,101022.87786676735
2366,131361.23627236672
1027,136335.70400623605
1195,143245.63485076092
1303,17335.352605344728
148,213952.22352382913
608,175384.08243460022
2515,194504.60586087964
821,276270.73972773366
2500,272360.6990330685
